F-PkgTimeStamp,Fx,Fy,Fz,T-PkgTimeStamp,Tx,Ty,Tz,Rx,Ry,Rz
0.058777,7.030000,-2.570000,-9.730000,0.058919,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.060291,7.030000,-2.570000,-9.730000,0.060434,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.062126,7.080000,-2.560000,-9.720000,0.062267,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.063628,7.080000,-2.560000,-9.720000,0.063769,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.065455,7.040000,-2.590000,-9.670000,0.065598,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.066975,7.040000,-2.590000,-9.670000,0.067118,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.068796,7.080000,-2.560000,-9.730000,0.068937,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.070310,7.080000,-2.560000,-9.730000,0.070451,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.072137,7.070000,-2.550000,-9.790000,0.072279,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.073649,7.070000,-2.550000,-9.790000,0.073791,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.075476,7.020000,-2.590000,-9.700000,0.075617,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.076989,7.020000,-2.590000,-9.700000,0.077130,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.078815,7.060000,-2.560000,-9.750000,0.078956,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.080330,7.060000,-2.560000,-9.750000,0.080470,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.082155,7.100000,-2.570000,-9.820000,0.082298,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.083672,7.100000,-2.570000,-9.820000,0.083814,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.085499,7.090000,-2.540000,-9.670000,0.085641,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.087010,7.090000,-2.540000,-9.670000,0.087151,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.088841,7.100000,-2.540000,-9.670000,0.088981,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.090350,7.100000,-2.540000,-9.670000,0.090490,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.092176,7.090000,-2.560000,-9.720000,0.092317,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
