Time [s],Packet,Type,Identifier,Control,Data,CRC,ACK
0.06847275,123,DATA,0x00400003,0x8,0x05 0x05 0x05 0x05 0x05 0x05 0x05 0x05,0x492A,ACK
0.06879575,124,DATA,0x10210046,0x8,0x02 0xC4 0xFF 0x00 0xFC 0x33 0x00 0x01,0x7B36,ACK
0.068936875,125,DATA,0x10210046,0x8,0xFF 0xF8 0xFF 0xEE 0x00 0x0E 0x00 0x01,0x1830,ACK
0.070143,126,DATA,0x00400003,0x8,0x05 0x05 0x05 0x05 0x05 0x05 0x05 0x05,0x492A,ACK
0.070310125,127,DATA,0x10210046,0x8,0x02 0xC4 0xFF 0x00 0xFC 0x33 0x00 0x01,0x7B36,ACK
0.070451375,128,DATA,0x10210046,0x8,0xFF 0xF8 0xFF 0xEE 0x00 0x0E 0x00 0x01,0x1830,ACK
0.07181375,129,DATA,0x00400003,0x8,0x05 0x05 0x05 0x05 0x05 0x05 0x05 0x05,0x492A,ACK
0.07213675,130,DATA,0x10210046,0x8,0x02 0xC3 0xFF 0x01 0xFC 0x2D 0x00 0x01,0x4F8F,ACK
0.07227875,131,DATA,0x10210046,0x8,0xFF 0xF8 0xFF 0xEE 0x00 0x0E 0x00 0x01,0x1830,ACK
0.073484,132,DATA,0x00400003,0x8,0x05 0x05 0x05 0x05 0x05 0x05 0x05 0x05,0x492A,ACK
0.073649125,133,DATA,0x10210046,0x8,0x02 0xC3 0xFF 0x01 0xFC 0x2D 0x00 0x01,0x4F8F,ACK
0.073791125,134,DATA,0x10210046,0x8,0xFF 0xF8 0xFF 0xEE 0x00 0x0E 0x00 0x01,0x1830,ACK
0.0751545,135,DATA,0x00400003,0x8,0x05 0x05 0x05 0x05 0x05 0x05 0x05 0x05,0x492A,ACK
0.07547575,136,DATA,0x10210046,0x8,0x02 0xBE 0xFE 0xFD 0xFC 0x36 0x00 0x01,0x6CB9,ACK
0.07561675,137,DATA,0x10210046,0x8,0xFF 0xF8 0xFF 0xEE 0x00 0x0E 0x00 0x01,0x1830,ACK
0.076824,138,DATA,0x00400003,0x8,0x05 0x05 0x05 0x05 0x05 0x05 0x05 0x05,0x492A,ACK
0.076989,139,DATA,0x10210046,0x8,0x02 0xBE 0xFE 0xFD 0xFC 0x36 0x00 0x01,0x6CB9,ACK
0.07713,140,DATA,0x10210046,0x8,0xFF 0xF8 0xFF 0xEE 0x00 0x0E 0x00 0x01,0x1830,ACK
0.07849425,141,DATA,0x00400003,0x8,0x05 0x05 0x05 0x05 0x05 0x05 0x05 0x05,0x492A,ACK
0.078815375,142,DATA,0x10210046,0x8,0x02 0xC2 0xFF 0x00 0xFC 0x31 0x00 0x01,0x250A,ACK
0.078955625,143,DATA,0x10210046,0x8,0xFF 0xF8 0xFF 0xEE 0x00 0x0E 0x00 0x01,0x1830,ACK
0.080164,144,DATA,0x00400003,0x8,0x05 0x05 0x05 0x05 0x05 0x05 0x05 0x05,0x492A,ACK
0.08033,145,DATA,0x10210046,0x8,0x02 0xC2 0xFF 0x00 0xFC 0x31 0x00 0x01,0x250A,ACK
0.08047,146,DATA,0x10210046,0x8,0xFF 0xF8 0xFF 0xEE 0x00 0x0E 0x00 0x01,0x1830,ACK
0.081834125,147,DATA,0x00400003,0x8,0x05 0x05 0x05 0x05 0x05 0x05 0x05 0x05,0x492A,ACK
0.082155375,148,DATA,0x10210046,0x8,0x02 0xC6 0xFE 0xFF 0xFC 0x2A 0x00 0x01,0x67C0,ACK
0.082297625,149,DATA,0x10210046,0x8,0xFF 0xF8 0xFF 0xEE 0x00 0x0E 0x00 0x01,0x1830,ACK
0.083504875,150,DATA,0x00400003,0x8,0x05 0x05 0x05 0x05 0x05 0x05 0x05 0x05,0x492A,ACK
0.083671875,151,DATA,0x10210046,0x8,0x02 0xC6 0xFE 0xFF 0xFC 0x2A 0x00 0x01,0x67C0,ACK
0.083814,152,DATA,0x10210046,0x8,0xFF 0xF8 0xFF 0xEE 0x00 0x0E 0x00 0x01,0x1830,ACK
0.085175125,153,DATA,0x00400003,0x8,0x05 0x05 0x05 0x05 0x05 0x05 0x05 0x05,0x492A,ACK
0.08549925,154,DATA,0x10210046,0x8,0x02 0xC5 0xFF 0x02 0xFC 0x39 0x00 0x01,0x71E2,ACK
0.085640625,155,DATA,0x10210046,0x8,0xFF 0xF8 0xFF 0xEE 0x00 0x0E 0x00 0x01,0x1830,ACK
0.086844875,156,DATA,0x00400003,0x8,0x05 0x05 0x05 0x05 0x05 0x05 0x05 0x05,0x492A,ACK
0.087010125,157,DATA,0x10210046,0x8,0x02 0xC5 0xFF 0x02 0xFC 0x39 0x00 0x01,0x71E2,ACK
0.087151375,158,DATA,0x10210046,0x8,0xFF 0xF8 0xFF 0xEE 0x00 0x0E 0x00 0x01,0x1830,ACK
0.088514625,159,DATA,0x00400003,0x8,0x05 0x05 0x05 0x05 0x05 0x05 0x05 0x05,0x492A,ACK
0.08884075,160,DATA,0x10210046,0x8,0x02 0xC6 0xFF 0x02 0xFC 0x39 0x00 0x01,0x2EE8,ACK
0.08898075,161,DATA,0x10210046,0x8,0xFF 0xF8 0xFF 0xEE 0x00 0x0E 0x00 0x01,0x1830,ACK
0.090184875,162,DATA,0x00400003,0x8,0x05 0x05 0x05 0x05 0x05 0x05 0x05 0x05,0x492A,ACK
0.090350125,163,DATA,0x10210046,0x8,0x02 0xC6 0xFF 0x02 0xFC 0x39 0x00 0x01,0x2EE8,ACK
0.090490375,164,DATA,0x10210046,0x8,0xFF 0xF8 0xFF 0xEE 0x00 0x0E 0x00 0x01,0x1830,ACK
0.091855625,165,DATA,0x00400003,0x8,0x05 0x05 0x05 0x05 0x05 0x05 0x05 0x05,0x492A,ACK
0.09217575,166,DATA,0x10210046,0x8,0x02 0xC5 0xFF 0x00 0xFC 0x34 0x00 0x01,0x1380,ACK
0.09231675,167,DATA,0x10210046,0x8,0xFF 0xF8 0xFF 0xEE 0x00 0x0E 0x00 0x01,0x1830,ACK
0.093525875,168,DATA,0x00400003,0x8,0x05 0x05 0x05 0x05 0x05 0x05 0x05 0x05,0x492A,ACK
